Position [m]	Sabre [mm/m]	Band width [mm]
0.00	-0.81	12.09
0.00	-0.59	12.08
0.00	-0.58	12.08
0.00	-1.15	12.08
0.00	-0.89	12.07
0.00	-0.71	12.07
0.00	-1.10	12.08
0.00	-1.05	12.08
0.00	-0.67	12.09
0.00	-0.72	12.08
0.00	-0.82	12.08
0.00	-0.68	12.08
0.00	-0.48	12.08
0.00	-0.79	12.08
0.00	-0.72	12.08
0.00	-0.48	12.08
0.00	-0.85	12.08
0.00	-0.97	12.08
0.00	-0.73	12.08
0.00	-0.75	12.08
0.00	-0.97	12.08
0.00	-0.77	12.08
0.00	-0.42	12.08
0.00	-0.53	12.08
0.00	-0.94	12.09
0.00	-0.53	12.08
0.00	-0.61	12.08
0.00	-1.14	12.09
0.00	-1.25	12.09
0.00	-0.92	12.08
0.00	-0.86	12.09
0.00	-1.13	12.08
0.00	-0.80	12.08
0.00	-0.41	12.08
0.00	-0.72	12.08
0.00	-0.78	12.08
0.00	-0.53	12.08
0.00	-0.74	12.07
0.00	-1.04	12.09
0.00	-1.07	12.09
0.00	-0.86	12.08
0.00	-1.03	12.09
0.00	-0.99	12.08
0.00	-0.58	12.09
0.00	-0.63	12.08
0.00	-0.83	12.08
0.00	-0.55	12.09
0.00	-0.72	12.08
0.00	-0.95	12.08
0.00	-0.85	12.08
0.00	-0.72	12.07
0.00	-0.83	12.08
0.00	-1.00	12.08
0.00	-0.66	12.08
0.00	-0.63	12.08
0.00	-0.99	12.08
0.00	-0.75	12.08
0.00	-0.48	12.08
0.00	-0.87	12.09
0.00	-1.07	12.09
0.00	-0.79	12.08
0.00	-0.87	12.08
0.00	-1.09	12.08
0.00	-1.18	12.09
0.00	-0.68	12.08
0.00	-0.83	12.08
0.00	-1.11	12.08
0.00	-0.80	12.08
0.00	-0.73	12.08
0.00	-1.07	12.08
0.00	-1.11	12.08
0.00	-1.00	12.08
0.00	-0.90	12.08
0.00	-1.07	12.08
0.00	-0.99	12.09
0.00	-0.78	12.08
0.00	-1.02	12.08
0.00	-0.91	12.08
0.00	-0.84	12.08
0.00	-1.05	12.08
0.00	-0.96	12.08
0.00	-0.92	12.09
0.00	-1.09	12.08
0.00	-1.13	12.08
0.00	-1.01	12.08
0.00	-0.67	12.08
0.00	-0.92	12.08
0.00	-0.95	12.09
0.00	-0.57	12.09
0.00	-0.69	12.09
0.00	-0.94	12.09
0.00	-0.80	12.09
0.00	-0.66	12.08
0.00	-0.90	12.08
0.00	-1.09	12.08
0.00	-0.85	12.08
0.00	-0.61	12.07
0.00	-1.00	12.08
0.00	-0.95	12.08
0.00	-0.65	12.08
0.00	-0.78	12.08
0.00	-1.01	12.09
0.00	-0.99	12.09
0.00	-0.75	12.08
0.00	-1.12	12.08
0.00	-1.08	12.08
0.00	-0.82	12.08
0.00	-0.85	12.08
0.00	-0.98	12.09
0.00	-0.87	12.08
0.00	-0.96	12.08
0.00	-1.05	12.08
0.00	-1.10	12.08
0.00	-1.00	12.08
0.00	-1.08	12.09
0.00	-1.04	12.08
0.00	-0.85	12.08
0.00	-0.88	12.08
0.00	-1.04	12.09
0.00	-0.85	12.09
0.00	-0.76	12.09
0.00	-0.99	12.09
0.00	-0.91	12.08
0.00	-0.70	12.08
0.00	-0.61	12.08
0.00	-1.00	12.09
0.00	-0.86	12.08
0.00	-0.53	12.08
0.00	-0.81	12.08
0.00	-1.06	12.08
0.00	-0.86	12.08
0.00	-0.75	12.08
0.00	-1.02	12.08
0.00	-0.91	12.08
0.00	-0.63	12.08
0.00	-0.70	12.09
0.00	-1.04	12.09
0.00	-0.82	12.09
0.00	-0.78	12.09
0.00	-1.06	12.09
0.00	-1.15	12.08
0.00	-1.02	12.08
0.00	-0.95	12.08
0.00	-1.00	12.08
0.00	-0.89	12.08
0.00	-0.89	12.08
0.00	-0.86	12.08
0.00	-0.88	12.08
0.00	-0.91	12.08
0.00	-1.09	12.09
0.00	-1.02	12.09
0.00	-1.02	12.09
0.00	-1.09	12.09
0.00	-1.15	12.09
0.00	-0.80	12.09
0.00	-0.78	12.09
0.00	-0.85	12.08
0.00	-0.86	12.08
0.00	-0.51	12.08
0.00	-0.64	12.07
0.00	-0.93	12.07
0.00	-0.66	12.09
0.00	-0.72	12.08
0.00	-0.89	12.08
0.00	-1.20	12.09
0.00	-0.80	12.09
0.00	-0.70	12.09
0.00	-0.94	12.08
0.00	-0.71	12.09
0.00	-0.57	12.09
0.00	-0.63	12.08
0.00	-0.83	12.09
0.00	-0.89	12.07
0.00	-0.75	12.08
0.00	-0.95	12.08
0.00	-1.05	12.08
0.00	-0.96	12.08
0.00	-1.11	12.08
0.00	-0.80	12.08
0.00	-0.87	12.09
0.00	-0.92	12.08
0.00	-0.82	12.09
0.00	-0.68	12.08
0.00	-0.78	12.09
0.00	-0.99	12.09
0.00	-0.89	12.09
0.00	-0.78	12.08
0.00	-1.23	12.08
0.00	-1.37	12.08
0.00	-0.90	12.08
0.00	-0.81	12.07
0.00	-0.95	12.07
0.00	-0.85	12.08
0.00	-0.26	12.08
0.00	-0.62	12.08
0.00	-0.96	12.08
0.00	-0.63	12.08
0.00	-0.52	12.09
0.00	-1.04	12.08
0.00	-1.03	12.09
0.00	-0.80	12.08
0.00	-0.62	12.08
0.00	-0.96	12.09
0.00	-0.76	12.08
0.00	-0.47	12.07
0.00	-0.73	12.08
0.00	-0.77	12.08
0.00	-0.58	12.07
0.00	-0.81	12.08
0.00	-0.94	12.08
0.00	-1.07	12.09
0.00	-0.96	12.08
0.00	-1.09	12.08
0.00	-1.08	12.09
0.00	-0.60	12.08
0.00	-0.85	12.09
0.00	-0.96	12.08
0.00	-0.59	12.09
0.00	-0.78	12.08
0.00	-1.05	12.09
0.00	-1.09	12.09
0.00	-0.77	12.08
0.00	-0.93	12.08
0.00	-1.33	12.08
0.00	-0.92	12.08
0.00	-0.56	12.08
0.00	-1.00	12.08
0.00	-1.03	12.09
0.00	-0.51	12.08
0.00	-0.42	12.08
0.00	-0.87	12.08
0.00	-0.95	12.08
0.00	-0.33	12.08
0.00	-0.84	12.08
0.00	-1.12	12.08
0.00	-0.71	12.08
0.00	-0.56	12.08
0.00	-0.74	12.08
0.00	-0.87	12.08
0.00	-0.58	12.08
0.00	-0.44	12.08
0.00	-0.99	12.09
0.00	-1.02	12.09
0.00	-0.85	12.09
0.00	-1.00	12.09
0.00	-1.01	12.09
0.00	-1.05	12.08
0.00	-0.73	12.09
0.00	-0.75	12.09
0.00	-0.84	12.08
0.00	-0.75	12.08
0.00	-0.77	12.08
0.00	-0.88	12.08
0.00	-0.85	12.08
0.00	-1.18	12.08
0.00	-1.00	12.08
0.00	-0.89	12.08
0.00	-0.98	12.09
0.00	-0.99	12.09
0.00	-0.84	12.09
0.00	-0.64	12.08
0.00	-0.98	12.08
0.00	-0.91	12.08
0.00	-0.55	12.08
0.00	-0.67	12.09
0.00	-0.95	12.08
0.00	-0.72	12.08
0.00	-0.64	12.07
0.00	-0.75	12.08
0.00	-0.96	12.09
0.00	-0.72	12.08
0.00	-0.64	12.07
0.00	-0.89	12.09
0.00	-0.83	12.08
0.00	-0.83	12.08
0.00	-0.78	12.09
0.00	-0.85	12.09
0.00	-0.94	12.09
0.00	-0.97	12.08
0.00	-1.04	12.08
0.00	-1.04	12.08
0.00	-1.01	12.08
0.00	-1.15	12.08
0.00	-0.88	12.08
0.00	-0.81	12.08
0.00	-1.01	12.08
0.00	-1.04	12.08
0.00	-0.92	12.09
0.00	-0.84	12.08
0.00	-1.23	12.09
0.00	-1.04	12.09
0.00	-0.77	12.08
0.00	-0.94	12.08
0.00	-1.25	12.08
0.00	-0.78	12.08
0.00	-0.66	12.08
0.00	-0.89	12.08
0.00	-1.00	12.08
0.00	-0.53	12.08
0.00	-0.53	12.08
0.00	-0.99	12.08
0.00	-0.93	12.08
0.00	-0.75	12.08
0.00	-0.95	12.08
0.00	-1.24	12.09
0.00	-0.91	12.08
0.00	-0.62	12.09
0.00	-0.76	12.08
0.00	-1.02	12.09
0.00	-0.62	12.08
0.00	-0.68	12.08
0.00	-0.96	12.08
0.00	-1.04	12.08
0.00	-1.05	12.08
0.00	-1.09	12.08
0.00	-1.10	12.08
0.00	-1.22	12.08
0.00	-1.06	12.08
0.00	-0.92	12.09
0.00	-0.94	12.08
0.00	-0.95	12.08
0.00	-1.03	12.09
0.00	-0.84	12.09
0.00	-0.94	12.08
0.00	-1.15	12.08
0.00	-1.02	12.08
0.00	-0.89	12.08
0.00	-1.11	12.08
0.00	-1.18	12.09
0.00	-0.88	12.08
0.00	-0.67	12.07
0.00	-0.92	12.08
0.00	-0.95	12.08
0.00	-0.57	12.08
0.00	-0.80	12.09
0.00	-0.97	12.09
0.00	-1.07	12.08
0.00	-0.85	12.09
0.00	-0.98	12.09
0.00	-1.16	12.08
0.00	-0.85	12.08
0.00	-0.68	12.08
0.00	-0.84	12.08
0.00	-0.86	12.09
0.00	-0.87	12.08
0.00	-0.81	12.08
0.00	-1.05	12.08
0.00	-1.12	12.08
0.00	-1.08	12.08
0.00	-1.24	12.08
0.00	-1.17	12.09
0.00	-1.01	12.08
0.00	-1.06	12.08
0.00	-0.88	12.09
0.00	-0.83	12.09
0.00	-0.92	12.09
0.00	-1.00	12.08
0.00	-0.92	12.09
0.00	-0.98	12.09
0.00	-1.02	12.08
0.00	-0.99	12.08
0.00	-0.77	12.08
0.00	-0.84	12.08
0.00	-1.02	12.07
0.00	-0.91	12.07
0.00	-0.64	12.08
0.00	-0.91	12.08
0.00	-0.98	12.09
0.00	-0.78	12.09
0.00	-0.70	12.08
0.00	-1.00	12.08
0.00	-0.99	12.09
0.00	-0.75	12.08
0.00	-0.82	12.09
0.00	-1.08	12.09
0.00	-0.97	12.08
0.00	-0.79	12.08
0.00	-0.96	12.08
0.00	-1.09	12.08
0.00	-0.96	12.08
0.00	-0.82	12.08
0.00	-1.04	12.09
0.00	-1.06	12.09
0.00	-0.95	12.09
0.00	-0.99	12.09
0.00	-0.89	12.09
0.00	-0.92	12.08
0.00	-0.96	12.09
0.00	-0.89	12.09
0.00	-0.85	12.09
0.00	-1.01	12.08
0.00	-1.01	12.09
0.00	-0.79	12.08
0.00	-0.65	12.07
0.00	-0.91	12.07
0.00	-0.76	12.08
0.00	-0.48	12.08
0.00	-0.78	12.08
0.00	-0.99	12.08
0.00	-0.86	12.09
0.00	-0.62	12.08
0.00	-0.92	12.09
0.00	-0.93	12.08
0.00	-0.67	12.08
0.00	-0.58	12.09
0.00	-0.91	12.08
0.00	-0.92	12.08
0.00	-0.76	12.08
0.00	-0.90	12.08
0.00	-1.26	12.08
0.00	-1.16	12.08
0.00	-0.92	12.08
0.00	-1.04	12.08
0.00	-0.96	12.09
0.00	-0.87	12.08
0.00	-0.75	12.09
0.00	-0.77	12.09
0.00	-0.81	12.08
0.00	-0.88	12.08
0.00	-0.94	12.08
0.00	-1.15	12.08
0.00	-1.03	12.08
0.00	-1.16	12.08
0.00	-0.84	12.08
0.00	-0.62	12.08
0.00	-0.87	12.08
0.00	-0.64	12.08
0.00	-0.53	12.08
0.00	-0.51	12.08
0.00	-0.75	12.08
0.00	-0.89	12.09
0.00	-0.67	12.09
0.00	-0.90	12.09
0.00	-1.15	12.08
0.00	-0.84	12.08
0.00	-0.69	12.08
0.00	-0.72	12.08
0.00	-0.95	12.08
0.00	-0.68	12.08
0.00	-0.59	12.08
0.00	-1.05	12.08
0.00	-0.89	12.08
0.00	-0.89	12.07
0.00	-1.04	12.09
0.00	-1.14	12.09
0.00	-0.98	12.09
0.00	-0.83	12.08
0.00	-0.95	12.08
0.00	-0.95	12.09
0.00	-0.72	12.08
0.00	-0.85	12.09
0.00	-0.78	12.09
0.00	-0.71	12.08
0.00	-0.81	12.08
0.00	-0.79	12.09
0.00	-0.78	12.08
0.00	-0.68	12.08
0.00	-0.83	12.07
0.00	-0.91	12.08
0.00	-0.62	12.08
0.00	-0.68	12.09
0.00	-0.97	12.08
0.00	-0.72	12.09
0.00	-0.56	12.09
0.00	-0.74	12.09
0.00	-1.02	12.08
0.00	-0.80	12.09
0.00	-0.64	12.08
0.00	-1.05	12.07
0.00	-0.99	12.08
0.00	-0.76	12.07
0.00	-0.69	12.08
0.00	-0.90	12.09
0.00	-0.87	12.08
0.00	-0.67	12.08
0.00	-0.78	12.09
0.00	-1.12	12.09
0.00	-0.97	12.09
0.00	-0.89	12.08
0.00	-0.94	12.09
0.00	-1.02	12.08
0.00	-0.76	12.09
0.00	-0.61	12.09
0.00	-0.79	12.08
0.00	-0.87	12.08
0.00	-0.76	12.08
0.00	-0.66	12.08
0.00	-0.85	12.08
0.00	-0.96	12.08
0.00	-0.90	12.08
0.00	-0.69	12.09
0.00	-0.89	12.09
0.00	-0.91	12.08
0.00	-0.62	12.09
0.00	-0.51	12.09
0.00	-0.66	12.08
0.00	-0.86	12.08
0.00	-0.55	12.08
0.00	-0.69	12.08
0.00	-1.15	12.08
0.00	-1.22	12.09
0.00	-0.91	12.08
0.00	-0.95	12.08
0.00	-1.21	12.08
0.00	-0.98	12.08
0.00	-0.50	12.08
0.00	-0.87	12.08
0.00	-1.08	12.09
0.00	-0.77	12.09
0.00	-0.59	12.08
0.00	-0.94	12.08
0.00	-1.23	12.08
0.00	-0.79	12.08
0.00	-0.80	12.09
0.00	-0.90	12.08
0.00	-0.84	12.08
0.00	-0.67	12.08
0.00	-0.68	12.08
0.00	-0.78	12.08
0.00	-0.84	12.08
0.00	-0.69	12.08
0.00	-0.81	12.08
0.00	-0.72	12.09
0.00	-0.92	12.09
0.00	-1.01	12.09
0.00	-0.80	12.09
0.00	-0.93	12.08
0.00	-0.96	12.08
0.00	-0.93	12.08
0.00	-0.70	12.08
0.00	-0.77	12.07
0.00	-1.02	12.08
0.00	-0.99	12.08
0.00	-0.64	12.08
0.00	-1.12	12.08
0.00	-1.11	12.08
0.00	-1.03	12.09
0.00	-0.83	12.08
0.00	-1.02	12.08
0.00	-1.23	12.09
0.00	-0.67	12.09
0.00	-0.82	12.08
0.00	-0.88	12.08
0.00	-0.95	12.08
0.00	-0.74	12.08
0.00	-0.74	12.08
0.00	-1.03	12.08
0.00	-1.08	12.08
0.00	-0.80	12.08
0.00	-0.91	12.08
0.00	-0.87	12.08
0.00	-0.99	12.08
0.00	-0.70	12.09
0.00	-0.73	12.09
0.00	-0.95	12.08
0.00	-0.86	12.08
0.00	-0.87	12.09
0.00	-0.85	12.09
0.00	-1.21	12.08
0.00	-1.31	12.08
0.00	-1.10	12.08
0.00	-1.07	12.08
0.00	-1.16	12.08
0.00	-1.08	12.08
0.00	-0.79	12.08
0.00	-0.71	12.08
0.00	-1.06	12.08
0.00	-0.90	12.08
0.00	-0.68	12.09
0.00	-0.99	12.09
0.00	-1.18	12.09
0.00	-1.01	12.09
0.00	-0.69	12.09
0.00	-1.11	12.09
0.00	-1.09	12.08
0.00	-0.88	12.08
0.00	-0.83	12.07
0.00	-0.94	12.08
0.00	-1.04	12.09
0.00	-0.88	12.08
0.00	-0.68	12.08
0.00	-1.06	12.08
0.00	-0.96	12.08
0.00	-0.85	12.08
0.00	-0.80	12.09
0.00	-1.03	12.09
0.00	-1.22	12.09
0.00	-0.94	12.09
0.00	-0.96	12.09
0.00	-1.23	12.08
0.00	-1.13	12.08
0.00	-0.83	12.08
0.00	-0.90	12.08
0.00	-1.26	12.08
0.00	-1.28	12.09
0.00	-0.79	12.08
0.00	-1.00	12.08
0.00	-1.44	12.08
0.00	-0.96	12.08
0.00	-0.62	12.08
0.00	-0.80	12.09
0.00	-1.13	12.09
0.00	-0.76	12.09
0.00	-0.39	12.08
0.00	-0.88	12.08
0.00	-1.19	12.08
0.00	-0.76	12.09
0.00	-0.74	12.08
0.00	-1.14	12.08
0.00	-1.29	12.09
0.00	-0.88	12.08
0.00	-0.99	12.08
0.00	-0.66	12.08
0.00	-0.77	12.07
0.00	-0.44	12.08
0.00	-0.26	12.08
0.00	-1.19	12.08
0.00	-0.75	12.08
0.00	-0.66	12.08
0.00	-1.97	12.09
0.00	-1.27	12.08
0.00	-0.86	12.08
0.00	-1.42	12.08
0.00	-0.76	12.07
0.00	-0.56	12.08
0.00	-0.74	12.07
0.00	-0.83	12.08
0.00	-0.73	12.08
0.00	-0.57	12.07
0.00	-1.33	12.08
0.00	-1.19	12.08
0.00	-0.77	12.07
0.00	-1.68	12.08
0.00	-1.07	12.08
0.00	-0.56	12.07
0.00	-1.17	12.08
0.00	-0.79	12.08
0.00	-0.65	12.08
0.00	-0.82	12.07
0.00	-0.97	12.08
0.00	-0.93	12.08
0.00	-0.77	12.08
0.00	-1.38	12.08
0.00	-1.23	12.07
0.00	-0.67	12.07
0.00	-1.35	12.08
0.00	-1.01	12.08
0.00	-0.57	12.07
0.00	-1.08	12.08
0.00	-0.89	12.08
0.00	-0.71	12.08
0.00	-0.90	12.08
0.00	-1.10	12.08
0.00	-1.05	12.07
0.00	-0.84	12.08
0.00	-1.23	12.08
0.00	-1.14	12.08
0.00	-0.66	12.08
0.00	-1.18	12.08
0.00	-1.04	12.08
0.00	-0.69	12.08
0.00	-1.19	12.08
0.00	-0.99	12.08
0.00	-0.70	12.08
0.00	-0.98	12.08
0.00	-1.03	12.08
0.00	-0.99	12.07
0.00	-0.66	12.08
0.00	-0.86	12.08
0.00	-1.07	12.08
0.00	-0.69	12.08
0.00	-0.98	12.08
0.00	-1.16	12.08
0.00	-0.93	12.08
0.00	-1.05	12.09
0.00	-1.06	12.09
0.00	-1.04	12.08
0.00	-1.03	12.09
0.00	-0.76	12.09
0.00	-0.91	12.09
0.00	-0.79	12.08
0.00	-0.62	12.08
0.00	-1.00	12.08
0.00	-0.95	12.08
0.00	-0.86	12.08
0.00	-1.05	12.08
0.00	-1.02	12.08
0.00	-1.29	12.09
0.00	-1.18	12.08
0.00	-1.04	12.08
0.00	-1.06	12.08
0.00	-0.66	12.08
0.00	-0.69	12.09
0.00	-0.60	12.08
0.00	-0.50	12.08
0.00	-0.85	12.09
0.00	-0.85	12.09
0.00	-0.98	12.09
0.00	-1.29	12.09
0.00	-1.29	12.08
0.00	-1.50	12.08
0.00	-1.08	12.09
0.00	-0.79	12.07
0.00	-0.93	12.08
0.00	-0.56	12.08
0.00	-0.52	12.08
0.00	-0.58	12.08
0.00	-0.76	12.08
0.00	-0.86	12.09
0.00	-0.76	12.09
0.00	-1.09	12.09
0.00	-1.34	12.09
0.00	-1.05	12.08
0.00	-0.95	12.08
0.00	-0.99	12.09
0.00	-0.78	12.09
0.00	-0.64	12.09
0.00	-0.68	12.08
0.00	-0.96	12.09
0.00	-0.88	12.08
0.00	-0.89	12.08
0.00	-1.41	12.08
0.00	-1.22	12.08
0.00	-1.10	12.08
0.00	-1.31	12.08
0.00	-1.18	12.08
0.00	-0.83	12.09
0.00	-0.54	12.08
0.00	-0.76	12.09
0.00	-0.93	12.09
0.00	-0.42	12.08
0.00	-0.61	12.08
0.00	-1.12	12.08
0.00	-0.87	12.08
0.00	-0.80	12.09
0.00	-0.74	12.08
0.00	-1.17	12.09
0.00	-0.79	12.08
0.00	-0.45	12.08
0.00	-0.92	12.08
0.00	-0.92	12.09
0.00	-0.72	12.08
0.00	-0.86	12.09
0.00	-1.18	12.09
0.00	-1.31	12.09
0.00	-1.06	12.08
0.00	-1.10	12.08
0.00	-1.27	12.09
0.00	-0.89	12.08
0.00	-0.74	12.08
0.00	-0.74	12.08
0.00	-0.69	12.08
0.00	-0.89	12.08
0.00	-0.63	12.08
0.00	-0.79	12.08
0.00	-1.13	12.08
0.00	-1.13	12.09
0.00	-1.01	12.09
0.00	-0.94	12.08
0.00	-0.97	12.09
0.00	-0.86	12.09
0.00	-0.52	12.08
0.00	-0.68	12.11
0.00	-0.95	12.08
0.00	-0.80	12.09
0.00	-0.64	12.08
0.00	-0.95	12.08
0.00	-1.22	12.08
0.00	-1.03	12.07
0.00	-0.90	12.08
0.00	-1.14	12.08
0.00	-1.19	12.09
0.00	-0.67	12.08
0.00	-0.68	12.08
0.00	-0.98	12.09
0.00	-0.85	12.09
0.00	-0.78	12.08
0.00	-0.92	12.09
0.00	-1.26	12.08
0.00	-1.21	12.08
0.00	-0.95	12.08
0.00	-1.04	12.08
0.00	-0.96	12.08
0.00	-0.74	12.07
0.00	-0.78	12.08
0.00	-0.65	12.08
0.00	-0.74	12.09
0.00	-0.83	12.08
0.00	-0.83	12.08
0.00	-0.82	12.08
0.00	-0.86	12.08
0.00	-1.04	12.08
0.00	-0.95	12.08
0.00	-0.63	12.08
0.00	-0.94	12.08
0.00	-1.01	12.08
0.00	-0.87	12.08
0.00	-0.86	12.09
0.00	-1.14	12.08
0.00	-1.36	12.08
0.00	-1.06	12.09
0.00	-1.06	12.08
0.00	-1.26	12.08
0.00	-1.03	12.09
0.00	-0.65	12.08
0.00	-0.76	12.09
0.00	-0.91	12.09
0.00	-0.73	12.08
0.00	-0.59	12.08
0.00	-0.87	12.08
0.00	-1.08	12.09
0.00	-0.78	12.08
0.00	-0.86	12.09
0.00	-0.93	12.08
0.00	-0.97	12.08
0.00	-0.78	12.08
0.00	-0.72	12.08
0.00	-0.83	12.08
0.00	-0.90	12.09
